Date,Open,High,Low,Close,Volume,Ticker,Year-Month
10/1/20,117.64,117.72,115.83,116.79,116120440,AAPL,2020-10
10/2/20,112.89,115.37,112.22,113.02,144711986,AAPL,2020-10
10/5/20,113.91,116.65,113.55,116.5,106243839,AAPL,2020-10
10/6/20,115.7,116.12,112.25,113.16,161498212,AAPL,2020-10
10/7/20,114.62,115.55,114.13,115.08,96848985,AAPL,2020-10
10/8/20,116.25,116.4,114.59,114.97,83477153,AAPL,2020-10
10/9/20,115.28,117,114.92,116.97,100506865,AAPL,2020-10
10/12/20,120.06,125.18,119.28,124.4,240226769,AAPL,2020-10
10/13/20,125.27,125.39,119.65,121.1,262330451,AAPL,2020-10
10/14/20,121,123.03,119.62,121.19,151062308,AAPL,2020-10
10/15/20,118.72,121.2,118.15,120.71,112559219,AAPL,2020-10
10/16/20,121.28,121.55,118.81,119.02,115393808,AAPL,2020-10
10/19/20,119.96,120.42,115.66,115.98,120639337,AAPL,2020-10
10/20/20,116.2,118.98,115.63,117.51,124423728,AAPL,2020-10
10/21/20,116.67,118.71,116.45,116.87,89945980,AAPL,2020-10
10/22/20,117.45,118.04,114.59,115.75,101987954,AAPL,2020-10
10/23/20,116.39,116.55,114.28,115.04,82572645,AAPL,2020-10
10/26/20,114.01,116.55,112.88,115.05,111850657,AAPL,2020-10
10/27/20,115.49,117.28,114.54,116.6,92276772,AAPL,2020-10
10/28/20,115.05,115.43,111.1,111.2,143937823,AAPL,2020-10
10/29/20,112.37,116.93,112.2,115.32,146129173,AAPL,2020-10
10/30/20,111.06,111.99,107.72,108.86,190573476,AAPL,2020-10
10/1/20,1484.27,1499.04,1479.21,1490.09,1779497,GOOG,2020-10
10/2/20,1462.03,1483.2,1450.92,1458.42,1284071,GOOG,2020-10
10/5/20,1466.21,1488.21,1464.27,1486.02,1113257,GOOG,2020-10
10/6/20,1475.58,1486.76,1448.59,1453.44,1245423,GOOG,2020-10
10/7/20,1464.29,1468.96,1436,1460.29,1746156,GOOG,2020-10
