Date,Open,High,Low,Close,Volume,Ticker
1/4/16 16:00,25.65,26.34,25.50,26.34,67649387,GOOG
1/5/16 16:00,26.44,26.46,25.60,25.68,55790992,GOOG
1/6/16 16:00,25.14,25.59,24.97,25.18,68457388,GOOG
1/7/16 16:00,24.67,25.03,24.11,24.11,81094428,GOOG
1/8/16 16:00,24.64,24.78,24.19,24.24,70798016,GOOG
1/11/16 16:00,24.74,24.77,24.34,24.63,49739377,GOOG
1/12/16 16:00,25.14,25.17,24.71,24.99,49154227,GOOG
1/13/16 16:00,25.08,25.30,24.33,24.35,62439631,GOOG
1/14/16 16:00,24.49,25.12,23.94,24.88,63170127,GOOG
1/15/16 16:00,24.05,24.43,23.84,24.28,79833891,GOOG
1/19/16 16:00,24.60,24.66,23.88,24.17,53087747,GOOG
1/20/16 16:00,23.78,24.55,23.36,24.20,72334416,GOOG
1/21/16 16:00,24.27,24.47,23.74,24.08,52161463,GOOG
1/22/16 16:00,24.66,25.37,24.59,25.36,65800467,GOOG
1/25/16 16:00,25.38,25.38,24.80,24.86,51794525,GOOG
1/26/16 16:00,24.98,25.22,24.52,25.00,75077002,GOOG
1/27/16 16:00,24.01,24.16,23.34,23.36,133369674,GOOG
1/28/16 16:00,23.45,23.63,23.10,23.52,55678825,GOOG
1/29/16 16:00,23.70,24.34,23.59,24.34,64416504,GOOG
2/1/16 16:00,24.12,24.18,23.85,24.11,40943541,GOOG
2/2/16 16:00,23.86,24.01,23.57,23.62,37357215,GOOG
2/3/16 16:00,23.75,24.21,23.52,24.09,45964294,GOOG
2/4/16 16:00,23.97,24.33,23.80,24.15,46471652,GOOG
2/5/16 16:00,24.13,24.23,23.42,23.51,46418064,GOOG
2/8/16 16:00,23.28,23.93,23.26,23.75,54021375,GOOG
2/9/16 16:00,23.57,23.99,23.48,23.75,44331195,GOOG
2/10/16 16:00,23.98,24.09,23.53,23.57,42343601,GOOG
2/11/16 16:00,23.45,23.68,23.15,23.43,50074711,GOOG
2/12/16 16:00,23.55,23.63,23.25,23.50,40351381,GOOG
2/16/16 16:00,23.76,24.21,23.65,24.16,49057916,GOOG
2/17/16 16:00,24.17,24.55,24.04,24.53,44863243,GOOG
2/18/16 16:00,24.71,24.72,24.02,24.07,39020983,GOOG
2/19/16 16:00,24.00,24.19,23.95,24.01,35374173,GOOG
2/22/16 16:00,24.08,24.23,23.98,24.22,34280758,GOOG
2/23/16 16:00,24.10,24.13,23.64,23.67,31942633,GOOG
2/24/16 16:00,23.50,24.10,23.33,24.03,36255745,GOOG
2/25/16 16:00,24.01,24.19,23.81,24.19,27582659,GOOG
2/26/16 16:00,24.30,24.51,24.15,24.23,28991131,GOOG
2/29/16 16:00,24.22,24.56,24.16,24.17,35216277,GOOG
3/1/16 16:00,24.41,25.19,24.36,25.13,50407147,GOOG
3/2/16 16:00,25.13,25.22,24.91,25.19,33169560,GOOG
3/3/16 16:00,25.15,25.43,25.11,25.38,36955742,GOOG
3/4/16 16:00,25.59,25.94,25.34,25.75,46055100,GOOG
3/7/16 16:00,25.60,25.71,25.24,25.47,35915810,GOOG
3/8/16 16:00,25.20,25.44,25.10,25.26,31561889,GOOG
3/9/16 16:00,25.33,25.40,25.07,25.28,27201683,GOOG
3/10/16 16:00,25.35,25.56,25.04,25.29,33513577,GOOG
3/11/16 16:00,25.56,25.57,25.38,25.57,27408237,GOOG
3/14/16 16:00,25.48,25.73,25.45,25.63,25076062,GOOG
3/15/16 16:00,25.99,26.30,25.96,26.15,40067734,GOOG
3/16/16 16:00,26.15,26.58,26.15,26.49,38303493,GOOG
3/17/16 16:00,26.38,26.62,26.24,26.45,14894744,GOOG
3/18/16 16:00,26.59,26.63,26.30,26.48,44205171,GOOG
3/21/16 16:00,26.48,26.91,26.29,26.48,35502678,GOOG
3/22/16 16:00,26.31,26.82,26.30,26.68,32444375,GOOG
3/23/16 16:00,26.62,26.77,26.48,26.53,25703495,GOOG
3/24/16 16:00,26.37,26.56,26.22,26.42,26132955,GOOG
3/28/16 16:00,26.50,26.55,26.27,26.30,19411372,GOOG
3/29/16 16:00,26.22,26.95,26.22,26.92,31190083,GOOG
3/30/16 16:00,27.16,27.61,27.15,27.39,45601149,GOOG
3/31/16 16:00,27.43,27.48,27.22,27.25,25888449,GOOG
4/1/16 16:00,27.20,27.50,27.05,27.50,25873950,GOOG
4/4/16 16:00,27.61,28.05,27.57,27.78,37356204,GOOG
4/5/16 16:00,27.38,27.68,27.36,27.45,26578652,GOOG
4/6/16 16:00,27.56,27.75,27.30,27.74,26404077,GOOG
4/7/16 16:00,27.49,27.61,27.03,27.14,31801870,GOOG
4/8/16 16:00,27.23,27.44,27.04,27.17,23581740,GOOG
4/11/16 16:00,27.24,27.65,27.21,27.26,29407518,GOOG
4/12/16 16:00,27.34,27.63,27.17,27.61,27232325,GOOG
4/13/16 16:00,27.70,28.09,27.70,28.01,33257316,GOOG
4/14/16 16:00,27.91,28.10,27.83,28.03,25473923,GOOG
4/15/16 16:00,28.03,28.08,27.43,27.46,46938969,GOOG
4/18/16 16:00,27.22,27.24,26.74,26.87,60821461,GOOG
4/19/16 16:00,26.97,27.00,26.56,26.73,32384879,GOOG
4/20/16 16:00,26.66,27.02,26.52,26.78,30611030,GOOG
4/21/16 16:00,26.73,26.73,26.38,26.49,31552525,GOOG
4/22/16 16:00,26.25,26.62,26.16,26.42,33683121,GOOG
4/25/16 16:00,26.25,26.41,26.13,26.27,28031588,GOOG
4/26/16 16:00,25.98,26.33,25.98,26.09,56016165,GOOG
4/27/16 16:00,24.00,24.68,23.92,24.46,114602142,GOOG
4/28/16 16:00,24.40,24.47,23.56,23.71,82242690,GOOG
4/29/16 16:00,23.50,23.68,23.13,23.44,68531478,GOOG
5/2/16 16:00,23.49,23.52,23.10,23.41,48160104,GOOG
5/3/16 16:00,23.55,23.94,23.42,23.80,56831277,GOOG
5/4/16 16:00,23.80,23.98,23.46,23.55,41025475,GOOG
5/5/16 16:00,23.50,23.52,23.17,23.31,35890500,GOOG
5/6/16 16:00,23.34,23.36,22.96,23.18,43699886,GOOG
5/9/16 16:00,23.25,23.44,23.15,23.20,32936436,GOOG
5/10/16 16:00,23.33,23.39,23.03,23.36,33686836,GOOG
5/11/16 16:00,23.37,23.39,23.12,23.13,28719109,GOOG
5/12/16 16:00,23.18,23.20,22.37,22.59,76314690,GOOG
5/13/16 16:00,22.50,22.92,22.50,22.63,44392765,GOOG
5/16/16 16:00,23.10,23.60,22.91,23.47,61259756,GOOG
5/17/16 16:00,23.64,23.68,23.25,23.37,46916939,GOOG
5/18/16 16:00,23.54,23.80,23.47,23.64,42062391,GOOG
5/19/16 16:00,23.66,23.66,23.39,23.55,30442100,GOOG
5/20/16 16:00,23.66,23.86,23.63,23.81,32025968,GOOG
5/23/16 16:00,23.97,24.30,23.92,24.11,38018643,GOOG
5/24/16 16:00,24.31,24.52,24.21,24.48,35140174,GOOG
5/25/16 16:00,24.67,24.94,24.53,24.91,38642108,GOOG
5/26/16 16:00,24.92,25.18,24.66,25.10,56331159,GOOG
5/27/16 16:00,24.86,25.12,24.81,25.09,36341240,GOOG
5/31/16 16:00,24.90,25.10,24.71,24.97,42307212,GOOG
6/1/16 16:00,24.76,24.89,24.58,24.62,29173285,GOOG
6/2/16 16:00,24.40,24.46,24.16,24.43,40191600,GOOG
6/3/16 16:00,24.45,24.57,24.36,24.48,28504888,GOOG
6/6/16 16:00,24.50,25.47,24.39,24.66,23292504,GOOG
6/7/16 16:00,24.81,24.97,24.74,24.76,22409450,GOOG
6/8/16 16:00,24.76,24.89,24.67,24.74,20848131,GOOG
6/9/16 16:00,24.63,25.00,24.62,24.91,26601354,GOOG
6/10/16 16:00,24.63,24.84,24.62,24.71,31712936,GOOG
6/13/16 16:00,24.67,24.78,24.28,24.34,38020494,GOOG
6/14/16 16:00,24.33,24.62,24.19,24.37,31931944,GOOG
6/15/16 16:00,24.46,24.60,24.26,24.29,29445227,GOOG
6/16/16 16:00,24.11,24.44,24.02,24.39,31326815,GOOG
6/17/16 16:00,24.16,24.16,23.83,23.83,61008219,GOOG
6/20/16 16:00,24.00,24.14,23.76,23.78,34411901,GOOG
6/21/16 16:00,23.74,24.09,23.67,23.98,35546358,GOOG
6/22/16 16:00,24.06,24.22,23.84,23.89,29219122,GOOG
6/23/16 16:00,23.99,24.07,23.81,24.03,32240187,GOOG
6/24/16 16:00,23.23,23.66,23.16,23.35,75311356,GOOG
6/27/16 16:00,23.25,23.26,22.88,23.01,46622188,GOOG
6/28/16 16:00,23.23,23.42,23.04,23.40,40444914,GOOG
